Name,Contract No,PCR No,Content Type,Document ID,Livelink ID,Original Path,Item Type,Path
RFI_Response_414532_54_Internal_APPROVED_28_Sep_2015_08-26.pdf,414532,54,Change Requests,FUXEN4K22T6K-31-66096,193050432,\SCM-CCA-RFI\00273|414532|5730\00 Internal Documents\RFI_Response_414532_54_Internal_APPROVED_28_Sep_2015_08-26.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5730/00 Internal Documents
414532_TA-P14-014-RF-ME-238.xlsx,414532,54,Change Requests,FUXEN4K22T6K-31-66097,192987665,\SCM-CCA-RFI\00273|414532|5730\414532_TA-P14-014-RF-ME-238.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414532_5730
414532_54 ME-238.pdf,414532,54,Change Requests,FUXEN4K22T6K-31-66098,193333418,\SCM-CCA-RFI\00273|414532|5730\414532_54 ME-238.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5730
00273_408522_186,408522,104,Change Requests Document Set,FUXEN4K22T6K-31-66099,192994807,\SCM-CCA-RFI\00273|408522|186,Folder,corporate/SCMCCA/Change Requests
RFI_Response_408522_104_Internal_APPROVED_28_Sep_2015_06-33.pdf,408522,104,Change Requests,FUXEN4K22T6K-31-66101,193042854,\SCM-CCA-RFI\00273|408522|186\00 Internal Documents\RFI_Response_408522_104_Internal_APPROVED_28_Sep_2015_06-33.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_186/00 Internal Documents
408522_104 CI-PCN-42.xlsx,408522,104,Change Requests,FUXEN4K22T6K-31-66102,193002309,\SCM-CCA-RFI\00273|408522|186\408522_104 CI-PCN-42.xlsx,Item,corporate/SCMCCA/Change Requests/00273_408522_186
408522_104_CI-PCN-042.pdf,408522,104,Change Requests,FUXEN4K22T6K-31-66103,193047042,\SCM-CCA-RFI\00273|408522|186\408522_104_CI-PCN-042.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_186
00273_408522_187,408522,105,Change Requests Document Set,FUXEN4K22T6K-31-66104,192995112,\SCM-CCA-RFI\00273|408522|187,Folder,corporate/SCMCCA/Change Requests
RFI_Response_408522_105_Internal_REJECTED_27_Sep_2015_10-01.pdf,408522,105,Change Requests,FUXEN4K22T6K-31-66106,193047012,\SCM-CCA-RFI\00273|408522|187\00 Internal Documents\RFI_Response_408522_105_Internal_REJECTED_27_Sep_2015_10-01.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_187/00 Internal Documents
408522_105 CI-PCN-032A.xlsx,408522,105,Change Requests,FUXEN4K22T6K-31-66107,193003111,\SCM-CCA-RFI\00273|408522|187\408522_105 CI-PCN-032A..xlsx,Item,corporate/SCMCCA/Change Requests/00273_408522_187
